class,precision,recall,f1-score,support
Apple___Apple_scab,0.9694656488549618,1.0,0.9844961240310077,127.0
Apple___Black_rot,1.0,1.0,1.0,146.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,52.0
Apple___Healthy,0.9501661129568106,1.0,0.9744463373083475,286.0
Blueberry___Healthy,0.9968944099378882,0.9907407407407407,0.9938080495356038,324.0
Cherry___Powdery_mildew,1.0,0.9908675799086758,0.9954128440366973,219.0
Cherry___Healthy,0.9919354838709677,1.0,0.9959514170040485,123.0
Corn___Cercospora_leaf_spot_Gray_leaf_spot,0.9906542056074766,0.9906542056074766,0.9906542056074766,107.0
Corn___Common_rust,0.9908256880733946,0.9953917050691244,0.993103448275862,217.0
Corn___Northern_Leaf_Blight,0.9776785714285714,0.9954545454545455,0.9864864864864865,220.0
Corn___Healthy,1.0,1.0,1.0,250.0
Grape___Black_rot,1.0,1.0,1.0,168.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,284.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,204.0
Grape___Healthy,1.0,1.0,1.0,100.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9877551020408163,0.9938398357289527,980.0
Peach___Bacterial_spot,0.998158379373849,1.0,0.9990783410138249,542.0
Peach___Healthy,1.0,0.9436619718309859,0.9710144927536232,71.0
"Pepper,_bell___Bacterial_spot",0.9540229885057471,1.0,0.9764705882352941,166.0
"Pepper,_bell___Healthy",1.0,0.9858657243816255,0.9928825622775801,283.0
Potato___Early_blight,0.9761904761904762,1.0,0.9879518072289156,164.0
Potato___Late_blight,0.9813084112149533,0.9905660377358491,0.9859154929577465,212.0
Potato___Healthy,1.0,0.8125,0.896551724137931,32.0
Raspberry___Healthy,1.0,1.0,1.0,162.0
Soybean___Healthy,0.9958932238193019,0.9969167523124358,0.9964047252182845,973.0
Squash___Powdery_mildew,0.9973614775725593,1.0,0.9986789960369881,378.0
Strawberry___Leaf_scorch,1.0,0.995,0.9974937343358395,200.0
Strawberry___Healthy,1.0,1.0,1.0,80.0
Tomato___Bacterial_spot,0.9954128440366973,0.9954128440366973,0.9954128440366973,436.0
Tomato___Early_blight,0.9945945945945946,0.8558139534883721,0.92,215.0
Tomato___Late_blight,0.9814814814814815,0.9893333333333333,0.9853917662682603,375.0
Tomato___Leaf_Mold,0.9885057471264368,1.0,0.9942196531791907,172.0
Tomato___Septoria_leaf_spot,0.9910979228486647,0.9910979228486647,0.9910979228486647,337.0
Tomato___Spider_mites_Two-spotted_spider_mite,0.9968454258675079,0.9875,0.9921507064364207,320.0
Tomato___Target_Spot,0.9566666666666667,0.9965277777777778,0.9761904761904762,288.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9972727272727273,0.9972727272727273,0.9972727272727273,1100.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,66.0
Tomato___Healthy,0.9850746268656716,1.0,0.9924812030075187,330.0
accuracy,0.9917826127556261,0.9917826127556261,0.9917826127556261,0.9917826127556261
macro avg,0.990987029320195,0.9865350769431539,0.9882857503013281,10709.0
weighted avg,0.991967553310193,0.9917826127556261,0.9916832950112077,10709.0
